16.24463175,16.24463175,5.653484791,1.851398671,1.41665019,1.240694847,1.119081327,1.027155145,0.8815870658,0.7799254656
6.519107948,4.585368744,2.483111852,2.068386967,1.93825824,1.565176705,1.438968734,1.27081899,1.200557419,1.038282073
5.929105911,1.317314542,1.094218784,0.8644998061,0.769928152,0.6133316485,0.4998408929,0.4570800695,0.4017549673,0.3616318495
10.93380673,10.93380673,4.272113996,1.563436031,1.023426574,0.8638658299,0.7205227464,0.6404225498,0.5198185705,0.4670991844
6.519107948,4.285717196,3.444333536,2.637710157,2.391529526,2.108795221,1.848890558,1.566479776,1.383006877,1.208894049
3.655941808,1.868239954,1.540987288,1.16658868,0.9581264388,0.7948671988,0.7299248932,0.6773678325,0.5537938137,0.4674817698
84.45192909,84.45192909,84.45192909,84.45192909,84.45192909,84.45192909,84.45192909,6.159461298,4.328628061,3.807989107
7.214472472,3.53010695,13.20345951,13.20345951,0.9495633253,0.5564228482,0.4132734509,0.3538584919,0.3351990862,0.2985237667
3.392085286,1.310613816,1.130947419,0.8718926283,0.754848847,0.5998582203,0.5688176736,0.4666469045,0.45602562,0.4237909319
6.519107948,4.229436562,2.793114034,2.210743968,1.983417639,1.748813189,1.590792094,1.369062068,1.260286994,1.169461604
